system,structure,rig_1,rig_2,rig_3,structure_type,system_id,structure_id,tax,structure_type_id
MC6O-F,MC6O-F - T2 Equipment ME,Standup M-Set Equipment Manufacturing Material Efficiency II,Standup M-Set Equipment Manufacturing Time Efficiency I,,Raitaru,30000209,1029140000000,0.0005,35825
MC6O-F,MC6O-F - T2 Advanced Medium Ships,Standup M-Set Advanced Medium Ship Manufacturing Material Efficiency II,Standup M-Set Advanced Medium Ship Manufacturing Time Efficiency I,Standup M-Set Basic Medium Ship Manufacturing Material Efficiency II,Raitaru,30000209,1029140000000,0.0005,35825
MC6O-F,MC6O-F - T1 Advanced Small Ships,Standup M-Set Advanced Small Ship Manufacturing Material Efficiency I,Standup M-Set Advanced Small Ship Manufacturing Time Efficiency I,Standup M-Set Invention Accelerator I,Raitaru,30000209,1031350000000,0.0005,35825
MC6O-F,MC6O-F - T2 Advanced Components,Standup M-Set Advanced Component Manufacturing Material Efficiency II,Standup M-Set Advanced Component Manufacturing Time Efficiency II,,Raitaru,30000209,1029140000000,0.0005,35825
MC6O-F,MC6O-F - Public Reactor,Standup L-Set Reactor Efficiency II,,,Tatara,30000209,1039040000000,0.0005,35836
MC6O-F,MC6O-F - Laboratory,Standup M-Set Blueprint Copy Accelerator I,,Standup M-Set TE Research Accelerator I,Raitaru,30000209,1029350000000,0.0005,35825
N-HSK0,N-HSK0 - Capital Component (Rig in Bio),Standup M-Set Basic Capital Component Manufacturing Material Efficiency II,Standup M-Set Basic Capital Component Manufacturing Time Efficiency II,,Raitaru,30000215,1046130000000,0.0005,35825
T-ZWA1,T-ZWA1 - Cap Sub-Assembly and Fuel Blocks,Standup M-Set Basic Capital Component Manufacturing Material Efficiency II,Standup M-Set Basic Capital Component Manufacturing Time Efficiency II,Standup M-Set Structure Manufacturing Material Efficiency I,Raitaru,30000303,1035840000000,0.0005,35825
T-ZWA1,T-ZWA1 - CS Shipyard,Standup XL-Set Equipment and Consumable Manufacturing Efficiency I,Standup XL-Set Ship Manufacturing Efficiency I,,Sotiyo,30000303,1035740000000,0.0005,35827
T-ZWA1,T-ZWA1 - Public Repro & Reactor,Standup M-Set Composite Reactor Material Efficiency II,Standup M-Set Composite Reactor Material Efficiency II,,Tatara,30000303,1035670000000,0.0005,35836
